1,2,3,4,5,6,7,8,9,10,11,12,13,data
0,0,0,0,0,0,0,0,0,0,0,0,0,93.7
0,0,0,0,1,1,1,1,1,1,1,1,1,94.1
0,0,0,0,2,2,2,2,2,2,2,2,2,94.6
0,1,1,1,0,0,0,1,1,1,2,2,2,94
0,1,1,1,1,1,1,2,2,2,0,0,0,94.5
0,1,1,1,2,2,2,0,0,0,1,1,1,93.4
0,2,2,2,0,0,0,2,2,2,1,1,1,94.6
0,2,2,2,1,1,1,0,0,0,2,2,2,93.6
0,2,2,2,2,2,2,1,1,1,0,0,0,94.5
1,0,1,2,0,1,2,0,1,2,0,1,2,94.1
1,0,1,2,1,2,0,1,2,0,1,2,0,93.8
1,0,1,2,2,0,1,2,0,1,2,0,1,94.1
1,1,2,0,0,1,2,1,2,0,2,0,1,93.8
1,1,2,0,1,2,0,2,0,1,0,1,2,94
1,1,2,0,2,0,1,0,1,2,1,2,0,93.8
1,2,0,1,0,1,2,2,0,1,1,2,0,93.4
1,2,0,1,1,2,0,0,1,2,2,0,1,94.3
1,2,0,1,2,0,1,1,2,0,0,1,2,93.6
2,0,2,1,0,2,1,0,2,1,0,2,1,94.5
2,0,2,1,1,0,2,1,0,2,1,0,2,92.4
2,0,2,1,2,1,0,2,1,0,2,1,0,94.3
2,1,0,2,0,2,1,1,0,2,2,1,0,93.7
2,1,0,2,1,0,2,2,1,0,0,2,1,94.8
2,1,0,2,2,1,0,0,2,1,1,0,2,93.5
2,2,1,0,0,2,1,2,1,0,1,0,2,94.3
2,2,1,0,1,0,2,0,2,1,2,1,0,94.3
2,2,1,0,2,1,0,1,0,2,0,2,1,94
